ALG_NAME,ANT_COUNT,MAX_IT,SEED,ALPHA_ANT,BETA_ANT,RHO,CHOSEN_ANTS,ALPHA_PSO,BETA_PSO,GAMMA,SCORE
pso,200,50,6666,,,,,0.55,0.55,0,1179.55
pso,200,50,6666,,,,,0.55,0.55,0.5,1173.39
pso,200,50,6666,,,,,0.55,0.55,1,1292.65
pso,200,50,6666,,,,,0.55,0.85,0,1165.41
pso,200,50,6666,,,,,0.55,0.85,0.5,1103.61
pso,200,50,6666,,,,,0.55,0.85,1,1306.77
pso,200,50,6666,,,,,0.85,0.55,0,1187.51
pso,200,50,6666,,,,,0.85,0.55,0.5,1108.54
pso,200,50,6666,,,,,0.85,0.55,1,1352.47
pso,200,50,6666,,,,,0.85,0.85,0,1162.39
pso,200,50,6666,,,,,0.85,0.85,0.5,1122.63
pso,200,50,6666,,,,,0.85,0.85,1,1273.38
pso,200,50,7777,,,,,0.55,0.55,0,1117.86
pso,200,50,7777,,,,,0.55,0.55,0.5,1033.64
pso,200,50,7777,,,,,0.55,0.55,1,1333.39
pso,200,50,7777,,,,,0.55,0.85,0,1206.52
pso,200,50,7777,,,,,0.55,0.85,0.5,1123.22
pso,200,50,7777,,,,,0.55,0.85,1,1281.0
pso,200,50,7777,,,,,0.85,0.55,0,1118.98
pso,200,50,7777,,,,,0.85,0.55,0.5,1008.8
pso,200,50,7777,,,,,0.85,0.55,1,1333.39
pso,200,50,7777,,,,,0.85,0.85,0,1093.61
pso,200,50,7777,,,,,0.85,0.85,0.5,1119.36
pso,200,50,7777,,,,,0.85,0.85,1,1301.73
pso,200,50,8888,,,,,0.55,0.55,0,1111.2
pso,200,50,8888,,,,,0.55,0.55,0.5,1070.98
pso,200,50,8888,,,,,0.55,0.55,1,1329.99
pso,200,50,8888,,,,,0.55,0.85,0,1153.24
pso,200,50,8888,,,,,0.55,0.85,0.5,1113.6
pso,200,50,8888,,,,,0.55,0.85,1,1351.22
pso,200,50,8888,,,,,0.85,0.55,0,1138.78
pso,200,50,8888,,,,,0.85,0.55,0.5,1081.18
pso,200,50,8888,,,,,0.85,0.55,1,1348.01
pso,200,50,8888,,,,,0.85,0.85,0,1138.78
pso,200,50,8888,,,,,0.85,0.85,0.5,1085.88
pso,200,50,8888,,,,,0.85,0.85,1,1256.15
