ALG_NAME,ANT_COUNT,MAX_IT,SEED,ALPHA_ANT,BETA_ANT,RHO,CHOSEN_ANTS,ALPHA_PSO,BETA_PSO,GAMMA,SCORE
pso,200,50,6666,,,,,0.55,0.55,0,1918.22
pso,200,50,6666,,,,,0.55,0.55,0.5,1767.45
pso,200,50,6666,,,,,0.55,0.55,1,2198.5
pso,200,50,6666,,,,,0.55,0.85,0,1910.46
pso,200,50,6666,,,,,0.55,0.85,0.5,1807.27
pso,200,50,6666,,,,,0.55,0.85,1,2196.1
pso,200,50,6666,,,,,0.85,0.55,0,2005.53
pso,200,50,6666,,,,,0.85,0.55,0.5,1511.33
pso,200,50,6666,,,,,0.85,0.55,1,2198.5
pso,200,50,6666,,,,,0.85,0.85,0,1790.69
pso,200,50,6666,,,,,0.85,0.85,0.5,1839.13
pso,200,50,6666,,,,,0.85,0.85,1,2213.74
pso,200,50,7777,,,,,0.55,0.55,0,1894.36
pso,200,50,7777,,,,,0.55,0.55,0.5,1775.4
pso,200,50,7777,,,,,0.55,0.55,1,2229.46
pso,200,50,7777,,,,,0.55,0.85,0,1779.77
pso,200,50,7777,,,,,0.55,0.85,0.5,1801.94
pso,200,50,7777,,,,,0.55,0.85,1,2163.87
pso,200,50,7777,,,,,0.85,0.55,0,1820.38
pso,200,50,7777,,,,,0.85,0.55,0.5,1625.58
pso,200,50,7777,,,,,0.85,0.55,1,2216.87
pso,200,50,7777,,,,,0.85,0.85,0,1806.9
pso,200,50,7777,,,,,0.85,0.85,0.5,1780.8
pso,200,50,7777,,,,,0.85,0.85,1,2163.87
pso,200,50,8888,,,,,0.55,0.55,0,1720.44
pso,200,50,8888,,,,,0.55,0.55,0.5,1676.88
pso,200,50,8888,,,,,0.55,0.55,1,2179.92
pso,200,50,8888,,,,,0.55,0.85,0,1937.52
pso,200,50,8888,,,,,0.55,0.85,0.5,1734.58
pso,200,50,8888,,,,,0.55,0.85,1,2206.51
pso,200,50,8888,,,,,0.85,0.55,0,1720.44
pso,200,50,8888,,,,,0.85,0.55,0.5,1616.91
pso,200,50,8888,,,,,0.85,0.55,1,2179.92
pso,200,50,8888,,,,,0.85,0.85,0,1849.62
pso,200,50,8888,,,,,0.85,0.85,0.5,1764.95
pso,200,50,8888,,,,,0.85,0.85,1,2206.51
