ALG_NAME,ANT_COUNT,MAX_IT,SEED,ALPHA_ANT,BETA_ANT,RHO,CHOSEN_ANTS,ALPHA_PSO,BETA_PSO,GAMMA,SCORE
pso,200,50,6666,,,,,0.55,0.55,0,2814.56
pso,200,50,6666,,,,,0.55,0.55,0.5,2484.55
pso,200,50,6666,,,,,0.55,0.55,1,3153.5
pso,200,50,6666,,,,,0.55,0.85,0,2753.33
pso,200,50,6666,,,,,0.55,0.85,0.5,2688.62
pso,200,50,6666,,,,,0.55,0.85,1,3062.12
pso,200,50,6666,,,,,0.85,0.55,0,2660.73
pso,200,50,6666,,,,,0.85,0.55,0.5,2602.53
pso,200,50,6666,,,,,0.85,0.55,1,3152.61
pso,200,50,6666,,,,,0.85,0.85,0,2762.63
pso,200,50,6666,,,,,0.85,0.85,0.5,2669.92
pso,200,50,6666,,,,,0.85,0.85,1,3118.21
pso,200,50,7777,,,,,0.55,0.55,0,2823.38
pso,200,50,7777,,,,,0.55,0.55,0.5,2693.51
pso,200,50,7777,,,,,0.55,0.55,1,3082.92
pso,200,50,7777,,,,,0.55,0.85,0,2591.9
pso,200,50,7777,,,,,0.55,0.85,0.5,2728.59
pso,200,50,7777,,,,,0.55,0.85,1,3100.06
pso,200,50,7777,,,,,0.85,0.55,0,2763.23
pso,200,50,7777,,,,,0.85,0.55,0.5,2608.54
pso,200,50,7777,,,,,0.85,0.55,1,3083.51
pso,200,50,7777,,,,,0.85,0.85,0,2676.21
pso,200,50,7777,,,,,0.85,0.85,0.5,2535.45
pso,200,50,7777,,,,,0.85,0.85,1,3100.06
pso,200,50,8888,,,,,0.55,0.55,0,2673.15
pso,200,50,8888,,,,,0.55,0.55,0.5,2591.97
pso,200,50,8888,,,,,0.55,0.55,1,3159.61
pso,200,50,8888,,,,,0.55,0.85,0,2856.84
pso,200,50,8888,,,,,0.55,0.85,0.5,2644.84
pso,200,50,8888,,,,,0.55,0.85,1,3117.57
pso,200,50,8888,,,,,0.85,0.55,0,2815.84
pso,200,50,8888,,,,,0.85,0.55,0.5,2551.79
pso,200,50,8888,,,,,0.85,0.55,1,2981.35
pso,200,50,8888,,,,,0.85,0.85,0,2653.67
pso,200,50,8888,,,,,0.85,0.85,0.5,2585.83
pso,200,50,8888,,,,,0.85,0.85,1,3117.57
