ALG_NAME,ANT_COUNT,MAX_IT,SEED,ALPHA_ANT,BETA_ANT,RHO,CHOSEN_ANTS,ALPHA_PSO,BETA_PSO,GAMMA,SCORE
pso,200,50,6666,,,,,0.55,0.55,0,1954.97
pso,200,50,6666,,,,,0.55,0.55,0.5,1709.39
pso,200,50,6666,,,,,0.55,0.55,1,2225.52
pso,200,50,6666,,,,,0.55,0.85,0,1853.13
pso,200,50,6666,,,,,0.55,0.85,0.5,1860.05
pso,200,50,6666,,,,,0.55,0.85,1,2257.51
pso,200,50,6666,,,,,0.85,0.55,0,2032.59
pso,200,50,6666,,,,,0.85,0.55,0.5,1908.06
pso,200,50,6666,,,,,0.85,0.55,1,2225.52
pso,200,50,6666,,,,,0.85,0.85,0,1891.65
pso,200,50,6666,,,,,0.85,0.85,0.5,1775.43
pso,200,50,6666,,,,,0.85,0.85,1,2257.51
pso,200,50,7777,,,,,0.55,0.55,0,1977.6
pso,200,50,7777,,,,,0.55,0.55,0.5,1841.79
pso,200,50,7777,,,,,0.55,0.55,1,2174.53
pso,200,50,7777,,,,,0.55,0.85,0,1923.46
pso,200,50,7777,,,,,0.55,0.85,0.5,1868.94
pso,200,50,7777,,,,,0.55,0.85,1,2235.69
pso,200,50,7777,,,,,0.85,0.55,0,1951.88
pso,200,50,7777,,,,,0.85,0.55,0.5,1950.65
pso,200,50,7777,,,,,0.85,0.55,1,2174.53
pso,200,50,7777,,,,,0.85,0.85,0,1864.08
pso,200,50,7777,,,,,0.85,0.85,0.5,1848.89
pso,200,50,7777,,,,,0.85,0.85,1,2235.69
pso,200,50,8888,,,,,0.55,0.55,0,1999.42
pso,200,50,8888,,,,,0.55,0.55,0.5,1703.5
pso,200,50,8888,,,,,0.55,0.55,1,2267.93
pso,200,50,8888,,,,,0.55,0.85,0,1829.54
pso,200,50,8888,,,,,0.55,0.85,0.5,1777.93
pso,200,50,8888,,,,,0.55,0.85,1,2217.32
pso,200,50,8888,,,,,0.85,0.55,0,1943.46
pso,200,50,8888,,,,,0.85,0.55,0.5,1805.82
pso,200,50,8888,,,,,0.85,0.55,1,2287.33
pso,200,50,8888,,,,,0.85,0.85,0,1856.62
pso,200,50,8888,,,,,0.85,0.85,0.5,1905.94
pso,200,50,8888,,,,,0.85,0.85,1,2217.32
