it ant_count alpha_ant beta_ant greedy random standard rank elit pso,,,,,,,,alpha=0.4,alpha=.55,alpha=1,bta=0.4,beta=0.85,beta=1,antcount=50,antcount=100,antcount=150,antcount=200
50,150,1,0.4,,,568.980877,,FALSE,FALSE,568.980877,568.980877,FALSE,FALSE,FALSE,FALSE,568.980877,FALSE
50,150,1,0.4,,,568.980877,,FALSE,FALSE,568.980877,568.980877,FALSE,FALSE,FALSE,FALSE,568.980877,FALSE
50,150,1,0.85,,,504.9315203,,FALSE,FALSE,504.9315203,FALSE,504.9315203,FALSE,FALSE,FALSE,504.9315203,FALSE
50,150,1,0.85,,,504.9315203,,FALSE,FALSE,504.9315203,FALSE,504.9315203,FALSE,FALSE,FALSE,504.9315203,FALSE
50,150,1,0.85,,,504.9315203,,FALSE,FALSE,504.9315203,FALSE,504.9315203,FALSE,FALSE,FALSE,504.9315203,FALSE
50,150,1,1,,,472.4298643,,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE
50,150,1,1,,,472.4298643,,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE
50,150,1,1,,,472.4298643,,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE,FALSE,472.4298643,FALSE
50,200,0.4,0.4,,,532.984451,,532.984451,FALSE,FALSE,532.984451,FALSE,FALSE,FALSE,FALSE,FALSE,532.984451
50,200,0.4,0.4,,,532.984451,,532.984451,FALSE,FALSE,532.984451,FALSE,FALSE,FALSE,FALSE,FALSE,532.984451
50,200,0.4,0.4,,,532.984451,,532.984451,FALSE,FALSE,532.984451,FALSE,FALSE,FALSE,FALSE,FALSE,532.984451
50,200,0.4,0.85,,,509.5863323,,509.5863323,FALSE,FALSE,FALSE,509.5863323,FALSE,FALSE,FALSE,FALSE,509.5863323
50,200,0.4,0.85,,,504.9315203,,504.9315203,FALSE,FALSE,FALSE,504.9315203,FALSE,FALSE,FALSE,FALSE,504.9315203
50,200,0.4,0.85,,,504.9315203,,504.9315203,FALSE,FALSE,FALSE,504.9315203,FALSE,FALSE,FALSE,FALSE,504.9315203
50,200,0.4,1,,,472.4298643,,472.4298643,FALSE,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643
50,200,0.4,1,,,472.4298643,,472.4298643,FALSE,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643
50,200,0.4,1,,,472.4298643,,472.4298643,FALSE,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643
50,200,0.55,0.4,,,532.984451,,FALSE,532.984451,FALSE,532.984451,FALSE,FALSE,FALSE,FALSE,FALSE,532.984451
