it ant_count alpha_ant beta_ant greedy random standard rank elit pso,,,,,,,,alpha=1,alpha,alpha,alpha,alpha=20,beta=1,,,,beta=20
50,200,20,1,,,418.8447054,,FALSE,FALSE,FALSE,FALSE,418.8447054,418.8447054,FALSE,FALSE,FALSE,FALSE
50,200,20,2,,,392.3290381,,FALSE,FALSE,FALSE,FALSE,392.3290381,FALSE,392.3290381,FALSE,FALSE,FALSE
50,200,20,4,,,419.4040051,,FALSE,FALSE,FALSE,FALSE,419.4040051,FALSE,FALSE,419.4040051,FALSE,FALSE
50,200,20,10,,,413.0466546,,FALSE,FALSE,FALSE,FALSE,413.0466546,FALSE,FALSE,FALSE,413.0466546,FALSE
50,200,20,20,,,457.6316344,,FALSE,FALSE,FALSE,FALSE,457.6316344,FALSE,FALSE,FALSE,FALSE,457.6316344
50,200,1,1,,,477.3057166,,477.3057166,FALSE,FALSE,FALSE,FALSE,477.3057166,FALSE,FALSE,FALSE,FALSE
50,200,1,2,,,440.0402242,,440.0402242,FALSE,FALSE,FALSE,FALSE,FALSE,440.0402242,FALSE,FALSE,FALSE
50,200,1,4,,,415.7613857,,415.7613857,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,415.7613857,FALSE,FALSE
50,200,1,10,,,413.8617394,,413.8617394,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,413.8617394,FALSE
50,200,1,20,,,466.3629937,,466.3629937,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,466.3629937
50,200,2,1,,,468.9423497,,FALSE,468.9423497,FALSE,FALSE,FALSE,468.9423497,FALSE,FALSE,FALSE,FALSE
50,200,2,2,,,440.0402242,,FALSE,440.0402242,FALSE,FALSE,FALSE,FALSE,440.0402242,FALSE,FALSE,FALSE
50,200,2,4,,,415.7613857,,FALSE,415.7613857,FALSE,FALSE,FALSE,FALSE,FALSE,415.7613857,FALSE,FALSE
50,200,2,10,,,413.8617394,,FALSE,413.8617394,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,413.8617394,FALSE
50,200,2,20,,,466.3629937,,FALSE,466.3629937,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,466.3629937
50,200,4,1,,,465.4831549,,FALSE,FALSE,465.4831549,FALSE,FALSE,465.4831549,FALSE,FALSE,FALSE,FALSE
50,200,4,2,,,412.7253148,,FALSE,FALSE,412.7253148,FALSE,FALSE,FALSE,412.7253148,FALSE,FALSE,FALSE
50,200,4,4,,,395.6878261,,FALSE,FALSE,395.6878261,FALSE,FALSE,FALSE,FALSE,395.6878261,FALSE,FALSE
50,200,4,10,,,423.8077627,,FALSE,FALSE,423.8077627,FALSE,FALSE,FALSE,FALSE,FALSE,423.8077627,FALSE
50,200,4,20,,,466.3629937,,FALSE,FALSE,466.3629937,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,466.3629937
50,200,10,1,,,441.4213931,,FALSE,FALSE,FALSE,441.4213931,FALSE,441.4213931,FALSE,FALSE,FALSE,FALSE
50,200,10,2,,,408.8225256,,FALSE,FALSE,FALSE,408.8225256,FALSE,FALSE,408.8225256,FALSE,FALSE,FALSE
50,200,10,4,,,403.5440063,,FALSE,FALSE,FALSE,403.5440063,FALSE,FALSE,FALSE,403.5440063,FALSE,FALSE
50,200,10,10,,,437.3801165,,FALSE,FALSE,FALSE,437.3801165,FALSE,FALSE,FALSE,FALSE,437.3801165,FALSE
50,200,10,20,,,459.5726749,,FALSE,FALSE,FALSE,459.5726749,FALSE,FALSE,FALSE,FALSE,FALSE,459.5726749
50,200,20,1,,,438.0902309,,FALSE,FALSE,FALSE,FALSE,438.0902309,438.0902309,FALSE,FALSE,FALSE,FALSE
50,200,20,2,,,416.4341806,,FALSE,FALSE,FALSE,FALSE,416.4341806,FALSE,416.4341806,FALSE,FALSE,FALSE
50,200,20,4,,,424.8052225,,FALSE,FALSE,FALSE,FALSE,424.8052225,FALSE,FALSE,424.8052225,FALSE,FALSE
50,200,20,10,,,449.6249409,,FALSE,FALSE,FALSE,FALSE,449.6249409,FALSE,FALSE,FALSE,449.6249409,FALSE
50,200,20,20,,,459.6905484,,FALSE,FALSE,FALSE,FALSE,459.6905484,FALSE,FALSE,FALSE,FALSE,459.6905484
50,200,1,1,,,470.1400465,,470.1400465,FALSE,FALSE,FALSE,FALSE,470.1400465,FALSE,FALSE,FALSE,FALSE
50,200,1,2,,,403.3128485,,403.3128485,FALSE,FALSE,FALSE,FALSE,FALSE,403.3128485,FALSE,FALSE,FALSE
