elitist,200,50,6666,10,4,0,,,,,991.96,46.0748057365,40
elitist,200,50,7777,10,4,0,,,,,985.47,46.2152676582,13
elitist,200,50,8888,10,4,0,,,,,952.7,48.0898542404,12
elitist,200,50,9213,10,4,0,,,,,998.99,48.1779420376,9
greedy,,,,,,,,,,,1149.41,0.0009937286,1
random,,,6666,,,,,,,,2641.5,0.0009968281,1
random,,,7777,,,,,,,,2535.19,0.0,1
random,,,8888,,,,,,,,2424.53,0.0009946823,1
random,,,9213,,,,,,,,2614.29,0.0009958744,1
rank,200,50,6666,10,4,0,40,,,,881.56,46.5615367889,19
rank,200,50,7777,10,4,0,40,,,,888.38,46.8267657757,40
rank,200,50,8888,10,4,0,40,,,,899.76,46.7417325974,13
rank,200,50,9213,10,4,0,40,,,,911.48,46.7489719391,15
standard,200,50,6666,10,4,0,,,,,999.64,45.8804700375,27
standard,200,50,7777,10,4,0,,,,,986.57,45.2774641514,19
standard,200,50,8888,10,4,0,,,,,976.97,45.6679763794,7
standard,200,50,9213,10,4,0,,,,,977.49,48.9520001411,16
elitist,200,200,6666,10,4,0,,,,,946.96,202.1194939613,71
elitist,200,200,7777,10,4,0,,,,,962.27,196.360039711,167
elitist,200,200,8888,10,4,0,,,,,939.54,207.4533207417,71
elitist,200,200,9213,10,4,0,,,,,906.73,188.8036499023,188
pso,200,200,6666,,,,,0.85,0.55,0.5,1511.33,2.5306556225,44
pso,200,200,7777,,,,,0.85,0.55,0.5,1625.58,2.702457428,38
pso,200,200,8888,,,,,0.85,0.55,0.5,1616.91,2.7337312698,26
pso,200,200,9213,,,,,0.85,0.55,0.5,1767.48,2.5306868553,33
rank,200,200,6666,10,4,0,40,,,,864.13,196.3260934353,134
rank,200,200,7777,10,4,0,40,,,,888.38,206.9204125404,40
rank,200,200,8888,10,4,0,40,,,,903.32,202.4523518085,59
rank,200,200,9213,10,4,0,40,,,,899.67,29476.2623016834,118
standard,200,200,6666,10,4,0,,,,,960.62,194.0411980152,134
standard,200,200,7777,10,4,0,,,,,960.4,202.7368667126,104
standard,200,200,8888,10,4,0,,,,,939.54,196.6435706615,71
standard,200,200,9213,10,4,0,,,,,906.73,196.7865867615,188
elitist,200,100,6666,10,4,0,,,,,946.96,96.6335086823,71
elitist,200,100,7777,10,4,0,,,,,980.06,96.9146912098,66
elitist,200,100,8888,10,4,0,,,,,939.54,99.3515856266,71
elitist,200,100,9213,10,4,0,,,,,982.76,97.9769411087,80
greedy,,,,,,,,,,,1149.41,0.0,1
pso,200,100,6666,,,,,0.85,0.55,0.5,1511.33,1.2028009892,44
pso,200,100,7777,,,,,0.85,0.55,0.5,1625.58,1.2028415203,38
pso,200,100,8888,,,,,0.85,0.55,0.5,1616.91,1.1872208118,26
pso,200,100,9213,,,,,0.85,0.55,0.5,1767.48,1.1872200966,33
random,,,6666,,,,,,,,2641.5,0.0,1
random,,,7777,,,,,,,,2535.19,0.0,1
random,,,8888,,,,,,,,2424.53,0.0,1
random,,,9213,,,,,,,,2614.29,0.0,1
rank,200,100,6666,10,4,0,40,,,,874.9,97.690682888,61
rank,200,100,7777,10,4,0,40,,,,888.38,98.0657031536,40
rank,200,100,8888,10,4,0,40,,,,903.32,100.8668894768,59
rank,200,100,9213,10,4,0,40,,,,907.33,100.3357274532,97
standard,200,100,6666,10,4,0,,,,,972.76,101.7885131836,97
standard,200,100,7777,10,4,0,,,,,969.96,93.8529436588,55
standard,200,100,8888,10,4,0,,,,,939.54,94.581599474,71
standard,200,100,9213,10,4,0,,,,,965.55,98.4299926758,56
elitist,200,150,6666,10,4,0,,,,,946.96,152.0110318661,71
elitist,200,150,7777,10,4,0,,,,,980.06,141.6229550838,66
elitist,200,150,8888,10,4,0,,,,,939.54,144.0387411118,71
elitist,200,150,9213,10,4,0,,,,,980.98,146.9341711998,149
greedy,,,,,,,,,,,1149.41,0.0,1
pso,200,150,6666,,,,,0.85,0.55,0.5,1511.33,1.7652132511,44
pso,200,150,7777,,,,,0.85,0.55,0.5,1625.58,1.7495880127,38
pso,200,150,8888,,,,,0.85,0.55,0.5,1616.91,1.7914071083,26
pso,200,150,9213,,,,,0.85,0.55,0.5,1767.48,1.749588728,33
random,,,6666,,,,,,,,2641.5,0.0,1
random,,,7777,,,,,,,,2535.19,0.0,1
random,,,8888,,,,,,,,2424.53,0.0,1
random,,,9213,,,,,,,,2614.29,0.0,1
rank,200,150,6666,10,4,0,40,,,,864.13,149.0742909908,134
rank,200,150,7777,10,4,0,40,,,,888.38,152.3079078197,40
rank,200,150,8888,10,4,0,40,,,,903.32,155.8852214813,59
rank,200,150,9213,10,4,0,40,,,,899.67,152.4328765869,118
standard,200,150,6666,10,4,0,,,,,960.62,149.6678681374,134
standard,200,150,7777,10,4,0,,,,,960.4,146.3093185425,104
standard,200,150,8888,10,4,0,,,,,939.54,149.1524379253,71
standard,200,150,9213,10,4,0,,,,,965.55,142.4352288246,56
