ALG_NAME,ANT_COUNT,MAX_IT,SEED,ALPHA_ANT,BETA_ANT,RHO,CHOSEN_ANTS,ALPHA_PSO,BETA_PSO,GAMMA,SCORE
pso,200,50,6666,,,,,0.55,0.55,0,1157.65
pso,200,50,6666,,,,,0.55,0.55,0.5,1066.57
pso,200,50,6666,,,,,0.55,0.55,1,1354.45
pso,200,50,6666,,,,,0.55,0.85,0,1122.06
pso,200,50,6666,,,,,0.55,0.85,0.5,1013.41
pso,200,50,6666,,,,,0.55,0.85,1,1360.03
pso,200,50,6666,,,,,0.85,0.55,0,1183.26
pso,200,50,6666,,,,,0.85,0.55,0.5,1062.09
pso,200,50,6666,,,,,0.85,0.55,1,1354.45
pso,200,50,6666,,,,,0.85,0.85,0,1158.26
pso,200,50,6666,,,,,0.85,0.85,0.5,1065.56
pso,200,50,6666,,,,,0.85,0.85,1,1360.03
pso,200,50,7777,,,,,0.55,0.55,0,1173.59
pso,200,50,7777,,,,,0.55,0.55,0.5,1050.19
pso,200,50,7777,,,,,0.55,0.55,1,1380.44
pso,200,50,7777,,,,,0.55,0.85,0,1137.46
pso,200,50,7777,,,,,0.55,0.85,0.5,1049.91
pso,200,50,7777,,,,,0.55,0.85,1,1367.56
pso,200,50,7777,,,,,0.85,0.55,0,1120.69
pso,200,50,7777,,,,,0.85,0.55,0.5,1056.79
pso,200,50,7777,,,,,0.85,0.55,1,1380.44
pso,200,50,7777,,,,,0.85,0.85,0,1120.4
pso,200,50,7777,,,,,0.85,0.85,0.5,1058.79
pso,200,50,7777,,,,,0.85,0.85,1,1367.56
pso,200,50,8888,,,,,0.55,0.55,0,1149.21
pso,200,50,8888,,,,,0.55,0.55,0.5,1130.57
pso,200,50,8888,,,,,0.55,0.55,1,1315.41
pso,200,50,8888,,,,,0.55,0.85,0,1169.87
pso,200,50,8888,,,,,0.55,0.85,0.5,1139.06
pso,200,50,8888,,,,,0.55,0.85,1,1403.97
pso,200,50,8888,,,,,0.85,0.55,0,1146.45
pso,200,50,8888,,,,,0.85,0.55,0.5,997.93
pso,200,50,8888,,,,,0.85,0.55,1,1390.76
pso,200,50,8888,,,,,0.85,0.85,0,1052.55
pso,200,50,8888,,,,,0.85,0.85,0.5,1020.95
pso,200,50,8888,,,,,0.85,0.85,1,1347.52
