elitist,200,50,6666,10,4,0,,,,,1481.18,74.3207218647,48
elitist,200,50,7777,10,4,0,,,,,1444.59,74.5560386181,34
elitist,200,50,8888,10,4,0,,,,,1475.19,75.2397799492,23
elitist,200,50,9213,10,4,0,,,,,1486.66,75.5554559231,0
greedy,,,,,,,,,,,1610.91,0.0029630661,1
random,,,6666,,,,,,,,3454.81,0.0019884109,1
random,,,7777,,,,,,,,3527.26,0.0010001659,1
random,,,8888,,,,,,,,3564.57,0.0019979477,1
random,,,9213,,,,,,,,3875.19,0.0009977818,1
rank,200,50,6666,10,4,0,40,,,,1335.07,79.8427107334,28
rank,200,50,7777,10,4,0,40,,,,1386.9,78.2178637981,5
rank,200,50,8888,10,4,0,40,,,,1341.4,77.7551674843,31
rank,200,50,9213,10,4,0,40,,,,1349.56,77.7806198597,8
standard,200,50,6666,10,4,0,,,,,1481.18,74.6661639214,48
standard,200,50,7777,10,4,0,,,,,1463.56,74.5499904156,40
standard,200,50,8888,10,4,0,,,,,1480.36,74.9065914154,23
standard,200,50,9213,10,4,0,,,,,1486.66,74.6994490623,0
elitist,200,200,6666,10,4,0,,,,,1448.65,321.3431615829,143
elitist,200,200,7777,10,4,0,,,,,1444.59,321.752430439,34
elitist,200,200,8888,10,4,0,,,,,1419.87,318.8937058449,156
elitist,200,200,9213,10,4,0,,,,,1414.68,315.0843443871,77
pso,200,200,6666,,,,,0.85,0.55,0.5,2602.53,4.1708934307,46
pso,200,200,7777,,,,,0.85,0.55,0.5,2608.54,4.1396505833,31
pso,200,200,8888,,,,,0.85,0.55,0.5,2551.79,4.1396503448,46
pso,200,200,9213,,,,,0.85,0.55,0.5,2540.4,4.2333784103,36
rank,200,200,6666,10,4,0,40,,,,1335.07,333.9788162708,28
rank,200,200,7777,10,4,0,40,,,,1368.38,335.7803542614,196
rank,200,200,8888,10,4,0,40,,,,1341.4,329.5630660057,31
rank,200,200,9213,10,4,0,40,,,,1331.79,331.9687261581,107
standard,200,200,6666,10,4,0,,,,,1442.72,328.7027833462,181
standard,200,200,7777,10,4,0,,,,,1436.5,329.8201227188,150
standard,200,200,8888,10,4,0,,,,,1419.87,1562.4310712814,156
standard,200,200,9213,10,4,0,,,,,1414.86,323.8148686886,77
elitist,200,100,6666,10,4,0,,,,,1465.64,155.3384432793,70
elitist,200,100,7777,10,4,0,,,,,1444.59,156.8798079491,34
elitist,200,100,8888,10,4,0,,,,,1475.19,161.9930953979,23
elitist,200,100,9213,10,4,0,,,,,1414.68,161.8786642551,77
greedy,,,,,,,,,,,1610.91,0.0,1
pso,200,100,6666,,,,,0.85,0.55,0.5,2602.53,1.8589375019,46
pso,200,100,7777,,,,,0.85,0.55,0.5,2608.54,1.7808308601,31
pso,200,100,8888,,,,,0.85,0.55,0.5,2551.79,1.8383040428,46
pso,200,100,9213,,,,,0.85,0.55,0.5,2540.4,1.8433129787,36
random,,,6666,,,,,,,,3454.81,0.0,1
random,,,7777,,,,,,,,3527.26,0.0,1
random,,,8888,,,,,,,,3564.57,0.0,1
random,,,9213,,,,,,,,3875.19,0.0,1
rank,200,100,6666,10,4,0,40,,,,1335.07,166.7107999325,28
rank,200,100,7777,10,4,0,40,,,,1386.9,165.3360948563,5
rank,200,100,8888,10,4,0,40,,,,1341.4,170.2205135822,31
rank,200,100,9213,10,4,0,40,,,,1349.56,166.7264227867,8
standard,200,100,6666,10,4,0,,,,,1481.18,152.9171068668,48
standard,200,100,7777,10,4,0,,,,,1463.56,157.4629781246,40
standard,200,100,8888,10,4,0,,,,,1457.58,162.102473259,64
standard,200,100,9213,10,4,0,,,,,1414.86,166.4937922955,77
elitist,200,150,6666,10,4,0,,,,,1448.65,242.7554078102,143
elitist,200,150,7777,10,4,0,,,,,1444.59,241.8921215534,34
elitist,200,150,8888,10,4,0,,,,,1475.19,240.4580783844,23
elitist,200,150,9213,10,4,0,,,,,1414.68,235.7570221424,77
greedy,,,,,,,,,,,1610.91,0.0,1
pso,200,150,6666,,,,,0.85,0.55,0.5,2602.53,2.8692770004,46
pso,200,150,7777,,,,,0.85,0.55,0.5,2608.54,2.7337334156,31
pso,200,150,8888,,,,,0.85,0.55,0.5,2551.79,2.671246767,46
pso,200,150,9213,,,,,0.85,0.55,0.5,2540.4,2.718110323,36
random,,,6666,,,,,,,,3454.81,0.0156171322,1
random,,,7777,,,,,,,,3527.26,0.0,1
random,,,8888,,,,,,,,3564.57,0.0,1
random,,,9213,,,,,,,,3875.19,0.0,1
rank,200,150,6666,10,4,0,40,,,,1335.07,251.5189292431,28
rank,200,150,7777,10,4,0,40,,,,1386.9,246.5513193607,5
rank,200,150,8888,10,4,0,40,,,,1341.4,251.7483160496,31
rank,200,150,9213,10,4,0,40,,,,1331.79,255.6116878986,107
standard,200,150,6666,10,4,0,,,,,1452.54,240.6308710575,118
standard,200,150,7777,10,4,0,,,,,1463.56,240.41213727,40
standard,200,150,8888,10,4,0,,,,,1457.58,245.4109964371,64
standard,200,150,9213,10,4,0,,,,,1414.86,248.6859948635,77
